day_of_week,symbol,date,open,high,low,close,volume,change,changePercent
1,AMZ-GY,2016-02-22,488.7,507.75,488.7,507.75,2343,31.55000000000001,0.0663
2,AMZ-GY,2016-02-23,505.75,508.4,495.1,497.15,3491,-10.600000000000023,-0.0209
3,AMZ-GY,2016-02-24,504.4,504.4,482,485.25,2865,-11.899999999999977,-0.0239
4,AMZ-GY,2016-02-25,502,508,496.4,498.05,2026,12.800000000000011,0.0264
5,AMZ-GY,2016-02-26,504.9,512.25,503.9,510.3,1799,12.25,0.0246
1,AMZ-GY,2016-02-29,503.25,515.4,502.05,514.6,1312,4.300000000000011,0.0084
2,AMZ-GY,2016-03-01,511.45,524.3,510,523.15,1544,8.549999999999955,0.0166
3,AMZ-GY,2016-03-02,538.7,539.8,534,534.5,3339,11.350000000000023,0.0217
4,AMZ-GY,2016-03-03,535.4,535.9,524.85,525.35,2054,-9.149999999999977,-0.0171
5,AMZ-GY,2016-03-04,529.25,534.2,518.1,526.35,1696,1,0.0019
1,AMZ-GY,2016-03-07,524.3,527.9,508.5,512.85,2469,-13.5,-0.0256
2,AMZ-GY,2016-03-08,507.85,513.95,503.05,510.85,1530,-2,-0.0039
3,AMZ-GY,2016-03-09,512.95,517.9,500.5,502.001,1662,-8.849000000000046,-0.0173
4,AMZ-GY,2016-03-10,510.7,523.35,497.3,499,3011,-3.0009999999999764,-0.006
5,AMZ-GY,2016-03-11,507.5,511.2,504.55,507.85,2298,8.850000000000023,0.0177
1,AMZ-GY,2016-03-14,511.65,517.2,506.05,517.2,1992,9.350000000000023,0.0184
2,AMZ-GY,2016-03-15,514.8,518.45,512.2,516.85,1582,-0.35000000000002274,-0.0007
3,AMZ-GY,2016-03-16,522,522.8,518.45,518.95,573,2.1000000000000227,0.0041
4,AMZ-GY,2016-03-17,513,513,490.55,493.1,2776,-25.850000000000023,-0.0498
5,AMZ-GY,2016-03-18,498.6,502.15,482.5,490.35,3341,-2.75,-0.0056
1,AMZ-GY,2016-03-21,490.15,493.9,478.3,483.449,2522,-6.9010000000000105,-0.0141
2,AMZ-GY,2016-03-22,488.35,497.85,485.7,497.85,2359,14.40100000000001,0.0298
3,AMZ-GY,2016-03-23,501,510,499.95,507.9,1585,10.049999999999955,0.0202
4,AMZ-GY,2016-03-24,511,519.55,505.45,517.65,2154,9.75,0.0192
2,AMZ-GY,2016-03-29,520,526.2,514.85,526,1515,8.350000000000023,0.0161
3,AMZ-GY,2016-03-30,525.6,533,525.6,526.9,1782,0.8999999999999773,0.0017
4,AMZ-GY,2016-03-31,528,528.9,522.6,523.55,2338,-3.3500000000000227,-0.0064
5,AMZ-GY,2016-04-01,521,525.7,515.45,524.65,1600,1.1000000000000227,0.0021
1,AMZ-GY,2016-04-04,528.2,531.35,518.95,521.25,3214,-3.3999999999999773,-0.0065
2,AMZ-GY,2016-04-05,519.15,522.75,517.3,518,1530,-3.25,-0.0062
3,AMZ-GY,2016-04-06,519.65,523.4,515.95,522.5,1491,4.5,0.0087
4,AMZ-GY,2016-04-07,528.9,530.95,518.45,518.8,1455,-3.7000000000000455,-0.0071
5,AMZ-GY,2016-04-08,521.55,525.55,519,519,1206,0.20000000000004547,0.0004
1,AMZ-GY,2016-04-11,521.65,527.95,520,524.2,1278,5.2000000000000455,0.01
2,AMZ-GY,2016-04-12,524.25,528,517.25,526.75,1103,2.5499999999999545,0.0049
3,AMZ-GY,2016-04-13,532.5,546.55,529.2,544.3,3628,17.549999999999955,0.0333
4,AMZ-GY,2016-04-14,545,553.5,543.25,550.6,1657,6.300000000000068,0.0116
5,AMZ-GY,2016-04-15,553.55,553.55,548.7,552.2,1851,1.6000000000000227,0.0029
1,AMZ-GY,2016-04-18,550.3,563,548,556.3,2363,4.099999999999909,0.0074
2,AMZ-GY,2016-04-19,562.15,565.65,552.25,553.8,3124,-2.5,-0.0045
3,AMZ-GY,2016-04-20,550.35,560.3,549,560.749,1856,6.949000000000069,0.0125
4,AMZ-GY,2016-04-21,563,565,555.05,562.55,1352,1.8009999999999309,0.0032
5,AMZ-GY,2016-04-22,553.5,558.6,543.65,545.7,1600,-16.84999999999991,-0.03
1,AMZ-GY,2016-04-25,551.6,552.15,547.6,550,1099,4.2999999999999545,0.0079
2,AMZ-GY,2016-04-26,558.95,558.95,545.15,546.25,1204,-3.75,-0.0068
3,AMZ-GY,2016-04-27,543.35,543.5,531.4,535,1732,-11.25,-0.0206
4,AMZ-GY,2016-04-28,538,552.7,538,548.9,2410,13.899999999999977,0.026
5,AMZ-GY,2016-04-29,590,595.95,574.25,575.7,12959,26.800000000000068,0.0488
1,AMZ-GY,2016-05-02,578.25,588.05,575.2,587.2,2399,11.5,0.02
2,AMZ-GY,2016-05-03,593,593.95,581.6,586.75,1775,-0.4500000000000455,-0.0008
3,AMZ-GY,2016-05-04,584.6,585.5,576.9,581.2,2545,-5.5499999999999545,-0.0095
4,AMZ-GY,2016-05-05,589.05,592,584.95,586.05,715,4.849999999999909,0.0083
5,AMZ-GY,2016-05-06,577.7,581,573,580.4,1032,-5.649999999999977,-0.0096
1,AMZ-GY,2016-05-09,590.15,596.65,588.35,594.2,2481,13.800000000000068,0.0238
2,AMZ-GY,2016-05-10,598.25,615.95,598.25,612.85,3399,18.649999999999977,0.0314
3,AMZ-GY,2016-05-11,619.2,623.45,615,622.65,4559,9.799999999999955,0.016
4,AMZ-GY,2016-05-12,625.5,632.25,623.7,627.2,3449,4.550000000000068,0.0073
5,AMZ-GY,2016-05-13,630,635.65,625.95,630,3011,2.7999999999999545,0.0045
2,AMZ-GY,2016-05-17,630,630,619.4,623,3329,-7,-0.0111
3,AMZ-GY,2016-05-18,616,620,613.5,618.75,1744,-4.25,-0.0068
4,AMZ-GY,2016-05-19,624.9,624.9,614.65,617.2,2126,-1.5499999999999545,-0.0025
5,AMZ-GY,2016-05-20,624,630.9,623.15,630,1416,12.799999999999955,0.0207
1,AMZ-GY,2016-05-23,628,631.1,623.2,623.75,1984,-6.25,-0.0099
2,AMZ-GY,2016-05-24,623,632.75,618.4,632.75,3546,9,0.0144
3,AMZ-GY,2016-05-25,636,637.15,632.85,634.5,1520,1.75,0.0028
4,AMZ-GY,2016-05-26,634,639,631.35,639,1080,4.5,0.0071
5,AMZ-GY,2016-05-27,640,642.8,639.25,642,1366,3,0.0047
1,AMZ-GY,2016-05-30,646,646,639.25,642,1579,0,0
2,AMZ-GY,2016-05-31,644.75,649.8,639.4,649.45,2593,7.4500000000000455,0.0116
3,AMZ-GY,2016-06-01,649.8,650.55,643,646.55,3902,-2.900000000000091,-0.0045
4,AMZ-GY,2016-06-02,644.45,645.6,638.4,645.2,1213,-1.349999999999909,-0.0021
5,AMZ-GY,2016-06-03,652,656,633.4,636,4690,-9.200000000000045,-0.0143
1,AMZ-GY,2016-06-06,639.5,643.8,638,641.4,1247,5.399999999999977,0.0085
2,AMZ-GY,2016-06-07,642.25,644.75,636,639,2185,-2.3999999999999773,-0.0037
3,AMZ-GY,2016-06-08,636,639.5,633.3,637.35,1607,-1.6499999999999773,-0.0026
4,AMZ-GY,2016-06-09,637.7,643.65,634.95,641,620,3.6499999999999773,0.0057
5,AMZ-GY,2016-06-10,648,648,635,636.5,2446,-4.5,-0.007
1,AMZ-GY,2016-06-13,632,639.05,627.55,636.95,3265,0.4500000000000455,0.0007
2,AMZ-GY,2016-06-14,633,642.1,627.95,637.75,4183,0.7999999999999545,0.0013
3,AMZ-GY,2016-06-15,642,644,636.15,637.282,2142,-0.4679999999999609,-0.0007
4,AMZ-GY,2016-06-16,629,640.65,621.05,634.5,2269,-2.782000000000039,-0.0044
5,AMZ-GY,2016-06-17,637.75,642,623.6,627.2,1685,-7.2999999999999545,-0.0115
1,AMZ-GY,2016-06-20,631,637.05,627.95,637.05,4123,9.849999999999909,0.0157
2,AMZ-GY,2016-06-21,631.4,638.95,630.05,633.3,966,-3.75,-0.0059
3,AMZ-GY,2016-06-22,636.5,636.9,624.55,630.85,1718,-2.449999999999932,-0.0039
4,AMZ-GY,2016-06-23,628.25,634.65,624.9,632.6,2184,1.75,0.0028
5,AMZ-GY,2016-06-24,612,642,605,633.8,13743,1.1999999999999318,0.0019
1,AMZ-GY,2016-06-27,634.95,634.95,621.6,625.15,2633,-8.649999999999977,-0.0136
2,AMZ-GY,2016-06-28,630.8,638.35,628.5,637.65,2881,12.5,0.02
3,AMZ-GY,2016-06-29,642.5,646.2,640,646.2,2766,8.550000000000068,0.0134
4,AMZ-GY,2016-06-30,646.55,647.2,641.7,647.15,1353,0.9499999999999318,0.0015
5,AMZ-GY,2016-07-01,649.4,654.4,641.05,650.95,1924,3.800000000000068,0.0059
1,AMZ-GY,2016-07-04,656.9,659,651.05,655,1046,4.0499999999999545,0.0062
2,AMZ-GY,2016-07-05,654.6,654.6,647,650.2,2751,-4.7999999999999545,-0.0073
3,AMZ-GY,2016-07-06,656,665,652,662.5,2358,12.299999999999955,0.0189
4,AMZ-GY,2016-07-07,666,670.55,662,662.7,1282,0.20000000000004547,0.0003
5,AMZ-GY,2016-07-08,664,674.2,664,673.5,1446,10.799999999999955,0.0163
1,AMZ-GY,2016-07-11,679.6,683.9,675.05,683.9,3508,10.399999999999977,0.0154
2,AMZ-GY,2016-07-12,683.95,685.7,673.9,679.05,3300,-4.850000000000023,-0.0071
3,AMZ-GY,2016-07-13,677.9,682,667.95,673.05,3042,-6,-0.0088
4,AMZ-GY,2016-07-14,673.55,677,668,670.5,2479,-2.5499999999999545,-0.0038
5,AMZ-GY,2016-07-15,664.55,671.35,663.1,666,1423,-4.5,-0.0067
1,AMZ-GY,2016-07-18,666.6,671.85,659.4,666.8,2376,0.7999999999999545,0.0012
2,AMZ-GY,2016-07-19,665.05,675,659.95,674.85,1702,8.050000000000068,0.0121
3,AMZ-GY,2016-07-20,675,678.7,674.25,676.651,2560,1.8009999999999309,0.0027
4,AMZ-GY,2016-07-21,679,680.55,675.25,678.45,2146,1.7990000000000919,0.0027
5,AMZ-GY,2016-07-22,675,682.25,673.55,682.25,2506,3.7999999999999545,0.0056
1,AMZ-GY,2016-07-25,680.5,681.95,674.4,675.95,2819,-6.2999999999999545,-0.0092
2,AMZ-GY,2016-07-26,673.2,677.15,669.25,670.7,1907,-5.25,-0.0078
3,AMZ-GY,2016-07-27,674.85,677.95,669.2,672.1,1821,1.3999999999999773,0.0021
4,AMZ-GY,2016-07-28,671.5,676.15,667,675.65,6365,3.5499999999999545,0.0053
5,AMZ-GY,2016-07-29,690.8,693.85,678,684.9,8468,9.25,0.0137
1,AMZ-GY,2016-08-01,683.9,689.7,676.05,687.35,2228,2.4500000000000455,0.0036
2,AMZ-GY,2016-08-02,688,688,674.65,676.449,3312,-10.901000000000067,-0.0159
3,AMZ-GY,2016-08-03,678.5,679.95,674,674.5,1793,-1.9489999999999554,-0.0029
4,AMZ-GY,2016-08-04,679,684.95,674.5,679.75,2354,5.25,0.0078
5,AMZ-GY,2016-08-05,686,694.25,681.95,693.199,5136,13.448999999999955,0.0198
1,AMZ-GY,2016-08-08,693.4,694.5,687,689,4348,-4.198999999999955,-0.0061
2,AMZ-GY,2016-08-09,693,695.35,691.15,694.2,2629,5.2000000000000455,0.0075
3,AMZ-GY,2016-08-10,690,692,686.05,687.45,3663,-6.75,-0.0097
4,AMZ-GY,2016-08-11,691.9,692.75,688.5,689.6,1464,2.1499999999999773,0.0031
5,AMZ-GY,2016-08-12,692,693.8,687,690.4,1406,0.7999999999999545,0.0012
1,AMZ-GY,2016-08-15,693.5,695,685.05,687,2685,-3.3999999999999773,-0.0049
2,AMZ-GY,2016-08-16,683,683,648.85,678.65,4855,-8.350000000000023,-0.0122
3,AMZ-GY,2016-08-17,680.4,680.4,674.35,674.35,2439,-4.2999999999999545,-0.0063
4,AMZ-GY,2016-08-18,678.9,678.9,670.3,673.35,2244,-1,-0.0015
5,AMZ-GY,2016-08-19,675.15,677.3,668.5,670.701,1513,-2.649000000000001,-0.0039
1,AMZ-GY,2016-08-22,671.5,673.2,665.5,669.3,1882,-1.4010000000000673,-0.0021
2,AMZ-GY,2016-08-23,670.4,676,670,674.35,1676,5.050000000000068,0.0075
3,AMZ-GY,2016-08-24,676.3,678.8,675,676.049,1620,1.6989999999999554,0.0025
4,AMZ-GY,2016-08-25,673.95,674.85,669,670.85,2017,-5.198999999999955,-0.0077
5,AMZ-GY,2016-08-26,671.6,682.85,671,682.45,1720,11.600000000000023,0.0173
1,AMZ-GY,2016-08-29,688,698,687,691.15,2073,8.699999999999932,0.0127
2,AMZ-GY,2016-08-30,692,697.9,687.55,687.75,2354,-3.3999999999999773,-0.0049
3,AMZ-GY,2016-08-31,690,693.7,685.55,687.25,1171,-0.5,-0.0007
4,AMZ-GY,2016-09-01,691,694.1,685.7,686.55,3769,-0.7000000000000455,-0.001
5,AMZ-GY,2016-09-02,690,695,685,693.75,1022,7.2000000000000455,0.0105
1,AMZ-GY,2016-09-05,695,695,692.55,693.499,1578,-0.25099999999997635,-0.0004
2,AMZ-GY,2016-09-06,695.5,697.9,690,695.9,2179,2.4009999999999536,0.0035
3,AMZ-GY,2016-09-07,700,706.1,697.95,698.65,3005,2.75,0.004
4,AMZ-GY,2016-09-08,698.5,698.95,690,694.65,993,-4,-0.0057
5,AMZ-GY,2016-09-09,695.6,697,690.75,690.9,1755,-3.75,-0.0054
1,AMZ-GY,2016-09-12,672.85,684.15,666.05,684.15,3163,-6.75,-0.0098
2,AMZ-GY,2016-09-13,685.8,686.7,675.6,677,1437,-7.149999999999977,-0.0105
3,AMZ-GY,2016-09-14,682,682.2,675,677.7,1924,0.7000000000000455,0.001
4,AMZ-GY,2016-09-15,677.4,682.7,674.85,682.7,1459,5,0.0074
5,AMZ-GY,2016-09-16,683.25,699.05,682.95,699.05,1332,16.34999999999991,0.0239
1,AMZ-GY,2016-09-19,699,703.65,690.4,693.65,2742,-5.399999999999977,-0.0077
2,AMZ-GY,2016-09-20,693.5,698,690.05,696.1,931,2.4500000000000455,0.0035
3,AMZ-GY,2016-09-21,705,705.95,698.6,701.85,3432,5.75,0.0083
4,AMZ-GY,2016-09-22,704.3,716.25,702.1,711.65,3475,9.799999999999955,0.014
5,AMZ-GY,2016-09-23,717,720,714.7,717.35,1668,5.7000000000000455,0.008
1,AMZ-GY,2016-09-26,717.5,717.5,707.5,712,2706,-5.350000000000023,-0.0075
2,AMZ-GY,2016-09-27,713.45,725.55,712,725.55,3535,13.549999999999955,0.019
3,AMZ-GY,2016-09-28,730.9,737,727,734.3,3305,8.75,0.0121
4,AMZ-GY,2016-09-29,742,745.95,737.35,737.35,4489,3.050000000000068,0.0042
5,AMZ-GY,2016-09-30,740.75,746.85,736.05,745.2,3080,7.850000000000023,0.0106
2,AMZ-GY,2016-10-04,751,754.95,745.25,748.25,4846,3.0499999999999545,0.0041
3,AMZ-GY,2016-10-05,745.5,752.15,743,750.249,2461,1.9990000000000236,0.0027
4,AMZ-GY,2016-10-06,755.1,757.55,751.6,755.3,2864,5.050999999999931,0.0067
5,AMZ-GY,2016-10-07,757.35,759.7,750.25,754.45,4211,-0.849999999999909,-0.0011
1,AMZ-GY,2016-10-10,754.4,762.5,753.5,756.5,3589,2.0499999999999545,0.0027
2,AMZ-GY,2016-10-11,757.4,761,751.85,752.5,3802,-4,-0.0053
3,AMZ-GY,2016-10-12,754.9,758.8,752.95,758.6,2069,6.100000000000023,0.0081
4,AMZ-GY,2016-10-13,753.7,753.95,745.05,747.7,3892,-10.899999999999977,-0.0144
5,AMZ-GY,2016-10-14,754.1,759.9,753.95,753.95,1694,6.25,0.0084
1,AMZ-GY,2016-10-17,747.8,752.3,736.45,741.1,6493,-12.850000000000023,-0.017
2,AMZ-GY,2016-10-18,743.75,749.25,743,744.7,2696,3.6000000000000227,0.0049
3,AMZ-GY,2016-10-19,746.1,749.95,741.05,744.55,1895,-0.15000000000009095,-0.0002
4,AMZ-GY,2016-10-20,747.6,747.6,725.5,741.7,4743,-2.849999999999909,-0.0038
5,AMZ-GY,2016-10-21,746,750.6,743.9,749.3,2315,7.599999999999909,0.0102
1,AMZ-GY,2016-10-24,757,766.35,755.05,764.95,4564,15.650000000000091,0.0209
2,AMZ-GY,2016-10-25,774.5,775.75,767.5,774.15,6899,9.199999999999932,0.012
3,AMZ-GY,2016-10-26,767.5,767.5,755,759.3,2733,-14.850000000000023,-0.0192
4,AMZ-GY,2016-10-27,756,763.8,749.65,754.75,5918,-4.5499999999999545,-0.006
5,AMZ-GY,2016-10-28,709,720,705.5,715.65,21026,-39.10000000000002,-0.0518
1,AMZ-GY,2016-10-31,714.8,724.45,712.05,723.75,11049,8.100000000000023,0.0113
2,AMZ-GY,2016-11-01,724,725.55,712,712.6,4474,-11.149999999999977,-0.0154
3,AMZ-GY,2016-11-02,707.7,710.75,694.95,696.6,4750,-16,-0.0225
4,AMZ-GY,2016-11-03,681.4,700.15,679.35,691.55,6485,-5.050000000000068,-0.0072
5,AMZ-GY,2016-11-04,692.5,693.35,678.9,683.95,3543,-7.599999999999909,-0.011
1,AMZ-GY,2016-11-07,696,709.65,693,708.4,5868,24.449999999999932,0.0357
2,AMZ-GY,2016-11-08,711.9,713,705.8,712.6,3305,4.2000000000000455,0.0059
3,AMZ-GY,2016-11-09,678.9,706.95,676,703.95,20390,-8.649999999999977,-0.0121
4,AMZ-GY,2016-11-10,712.45,719.95,658.05,686.7,10309,-17.25,-0.0245
5,AMZ-GY,2016-11-11,681.9,682,669.8,676.85,6473,-9.850000000000023,-0.0143
1,AMZ-GY,2016-11-14,690.75,695.95,669,671.55,6727,-5.300000000000068,-0.0078
2,AMZ-GY,2016-11-15,669.1,691.8,665,688.45,9446,16.90000000000009,0.0252
3,AMZ-GY,2016-11-16,694.9,700.75,688,700.5,3867,12.049999999999955,0.0175
4,AMZ-GY,2016-11-17,696,707.25,692,707.25,2729,6.75,0.0096
5,AMZ-GY,2016-11-18,714,723.15,712.05,718.15,2659,10.899999999999977,0.0154
1,AMZ-GY,2016-11-21,719.5,733.55,714,730.15,3643,12,0.0167
2,AMZ-GY,2016-11-22,739.9,746.15,735.05,735.05,3515,4.899999999999977,0.0067
3,AMZ-GY,2016-11-23,741.8,742.7,733.5,734.15,1738,-0.8999999999999773,-0.0012
4,AMZ-GY,2016-11-24,742.5,744,737.2,738.55,944,4.399999999999977,0.006
5,AMZ-GY,2016-11-25,740.95,742.1,734.45,735.2,1954,-3.349999999999909,-0.0045
1,AMZ-GY,2016-11-28,732,735.35,721,729,3384,-6.2000000000000455,-0.0084
2,AMZ-GY,2016-11-29,724.95,730,719.6,720.9,2227,-8.100000000000023,-0.0111
3,AMZ-GY,2016-11-30,718.2,724.95,712.3,717.55,2448,-3.3500000000000227,-0.0046
4,AMZ-GY,2016-12-01,710,710.85,696,700,2604,-17.549999999999955,-0.0245
5,AMZ-GY,2016-12-02,693.65,702.7,690.05,697.25,2728,-2.75,-0.0039
1,AMZ-GY,2016-12-05,702,710.85,692.85,708,2857,10.75,0.0154
2,AMZ-GY,2016-12-06,708.3,715.2,705,713.6,2716,5.600000000000023,0.0079
3,AMZ-GY,2016-12-07,717,717,704.35,710.05,3420,-3.550000000000068,-0.005
4,AMZ-GY,2016-12-08,717,727,711.05,724.7,4032,14.650000000000091,0.0206
5,AMZ-GY,2016-12-09,724,729.7,720.65,727.4,2405,2.699999999999932,0.0037
1,AMZ-GY,2016-12-12,728.5,728.5,714,717.8,3475,-9.600000000000023,-0.0132
2,AMZ-GY,2016-12-13,716.4,733.25,716.05,732.8,2684,15,0.0209
3,AMZ-GY,2016-12-14,729,733.4,717.5,724.85,3687,-7.949999999999932,-0.0108
4,AMZ-GY,2016-12-15,735,739.95,732,739,4694,14.149999999999977,0.0195
5,AMZ-GY,2016-12-16,730.1,734.2,722.1,722.1,2123,-16.899999999999977,-0.0229
1,AMZ-GY,2016-12-19,725.15,737.75,725.1,735,4274,12.899999999999977,0.0179
2,AMZ-GY,2016-12-20,736.15,746,736.15,746,2918,11,0.015
3,AMZ-GY,2016-12-21,741.35,742.85,729.75,734.35,2353,-11.649999999999977,-0.0156
4,AMZ-GY,2016-12-22,738.6,738.6,731.6,732.15,2510,-2.2000000000000455,-0.003
5,AMZ-GY,2016-12-23,734,734.75,723.3,723.4,1854,-8.75,-0.012
2,AMZ-GY,2016-12-27,727.7,740,725.55,739,3411,15.600000000000023,0.0216
3,AMZ-GY,2016-12-28,736.7,749.45,736.7,745.05,3228,6.0499999999999545,0.0082
4,AMZ-GY,2016-12-29,739,741.2,728.2,729.65,2191,-15.399999999999977,-0.0207
5,AMZ-GY,2016-12-30,728.2,731.95,724.85,727.8,1759,-1.8500000000000227,-0.0025
1,AMZ-GY,2017-01-02,713.3,729.4,710.1,728.1,4186,0.3000000000000682,0.0004
2,AMZ-GY,2017-01-03,725.95,732.9,722,722.05,4260,-6.050000000000068,-0.0083
