date,day_of_week,symbol,close
2020-01-01,3,AMZ-GY,1672.4
2020-01-02,4,AMZ-GY,1669
2020-01-03,5,AMZ-GY,1677.2
2020-01-06,1,AMZ-GY,1694.8
2020-01-07,2,AMZ-GY,1706.8
2020-01-08,3,AMZ-GY,1710.6
2020-01-09,4,AMZ-GY,1719.2
2020-01-10,5,AMZ-GY,1707
2020-01-13,1,AMZ-GY,1695.4
2020-01-14,2,AMZ-GY,1684.2
2020-01-15,3,AMZ-GY,1670.6
2020-01-16,4,AMZ-GY,1680.6
2020-01-17,5,AMZ-GY,1682.8
2020-01-20,1,AMZ-GY,1681.8
2020-01-21,2,AMZ-GY,1689.8
2020-01-22,3,AMZ-GY,1704.6
2020-01-23,4,AMZ-GY,1703
2020-01-24,5,AMZ-GY,1705.4
2020-01-27,1,AMZ-GY,1662.6
2020-01-28,2,AMZ-GY,1680.2
2020-01-29,3,AMZ-GY,1693.2
2020-01-30,4,AMZ-GY,1683
2020-01-31,5,AMZ-GY,1836.8
2020-02-03,1,AMZ-GY,1829.8
2020-02-04,2,AMZ-GY,1838.8
2020-02-05,3,AMZ-GY,1856.6
2020-02-06,4,AMZ-GY,1862.2
2020-02-07,5,AMZ-GY,1908.4
2020-02-10,1,AMZ-GY,1941.6
2020-02-11,2,AMZ-GY,1993.4
2020-02-12,3,AMZ-GY,1993.4
2020-02-13,4,AMZ-GY,1990.2
2020-02-14,5,AMZ-GY,1978.8
2020-02-17,1,AMZ-GY,1984
2020-02-18,2,AMZ-GY,1975
2020-02-19,3,AMZ-GY,2019
2020-02-20,4,AMZ-GY,1982
2020-02-21,5,AMZ-GY,1952.4
2020-02-24,1,AMZ-GY,1843.4
2020-02-25,2,AMZ-GY,1824.8
2020-02-26,3,AMZ-GY,1840
2020-02-27,4,AMZ-GY,1754.4
2020-02-28,5,AMZ-GY,1692.8
2020-03-02,1,AMZ-GY,1717
2020-03-03,2,AMZ-GY,1744.4
2020-03-04,3,AMZ-GY,1742.6
2020-03-05,4,AMZ-GY,1744
2020-03-06,5,AMZ-GY,1678.2
2020-03-09,1,AMZ-GY,1602.4
2020-03-10,2,AMZ-GY,1616.8
2020-03-11,3,AMZ-GY,1636.8
2020-03-12,4,AMZ-GY,1533.8
